threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,63541,12833,24443,0.8319716133762799,0.722188125113657,0.7732023996398106
0.1,2,61878,5683,26106,0.9158834238688001,0.7032869612656847,0.7956282747757885
0.1,3,59995,3222,27989,0.94903269690115,0.6818853427895981,0.793579407543601
0.11,1,63402,12110,24582,0.8396281385740015,0.720608292416803,0.7755786074277047
0.11,2,61699,5371,26285,0.9199194871030267,0.7012525004546282,0.7958388690391734
0.11,3,59776,3064,28208,0.9512412476129853,0.679396253864339,0.7926589932636716
0.12,1,63336,11711,24648,0.843951123962317,0.7198581560283688,0.7769810649508375
0.12,2,61623,5200,26361,0.9221824820795235,0.7003887070376432,0.7961267901322292
0.12,3,59668,2985,28316,0.9523566309673919,0.678168757955992,0.7922090854172614
0.13,1,63222,11206,24762,0.8494383834040953,0.7185624659028914,0.7785385316355935
0.13,2,61475,4959,26509,0.9253544871601891,0.6987065830150937,0.7962154671087568
0.13,3,59497,2845,28487,0.9543646337942319,0.676225222767776,0.7915729813871186
0.14,1,63151,10907,24833,0.8527235410083989,0.7177555010001818,0.7794398982979721
0.14,2,61404,4806,26580,0.9274127775260534,0.6978996181123841,0.7964512237830266
0.14,3,59387,2767,28597,0.9554815458377578,0.6749749954537189,0.7910988557194047
0.15,1,63056,10487,24928,0.8574031518975294,0.7166757592289508,0.7807487293146038
0.15,2,61293,4622,26691,0.9298793901236441,0.6966380250954719,0.7965353900935029
0.15,3,59260,2673,28724,0.9568404566224792,0.6735315511911256,0.7905707824996498
0.16,1,62998,10231,24986,0.8602875909817149,0.7160165484633569,0.7815498750100799
0.16,2,61221,4515,26763,0.9313161737860534,0.6958196944899072,0.7965261514441843
0.16,3,59165,2617,28819,0.9576413842219417,0.6724518094198946,0.790099221452132
0.17,1,62915,9876,25069,0.8643238861947219,0.7150731951263866,0.7826465557456072
0.17,2,61130,4366,26854,0.9333394405765237,0.6947854155300964,0.7965858743810268
0.17,3,59002,2528,28982,0.9589143507232244,0.670599199854519,0.7892505049694343
0.18,1,62855,9644,25129,0.8669774755513869,0.7143912529550828,0.7833228441641793
0.18,2,61051,4257,26933,0.9348165615238562,0.6938875250045463,0.7965321086553767
0.18,3,58917,2462,29067,0.9598885612342983,0.6696331151118385,0.7889102388141641
0.19,1,62764,9303,25220,0.8709117904172506,0.7133569739952719,0.784300004373606
0.19,2,60954,4110,27030,0.9368314275175212,0.692785051827605,0.7965344205739376
0.19,3,58791,2402,29193,0.9607471442812087,0.6682010365521004,0.7882046159930821
0.2,1,62696,9025,25288,0.8741651678030145,0.7125841062011274,0.7851476159168468
0.2,2,60847,3987,27137,0.9385044883857235,0.6915689216221131,0.7963328927220615
0.2,3,58685,2354,29299,0.9614344927013876,0.6669962720494635,0.7875965454996879
0.21,1,62639,8862,25345,0.8760576775149997,0.7119362611383888,0.7855158792362918
0.21,2,60789,3902,27195,0.9396824906092037,0.6909097108565194,0.7963189782217128
0.21,3,58608,2313,29376,0.9620327965726104,0.6661211129296236,0.7871864611665156
0.22,1,62544,8637,25440,0.8786614405529566,0.7108565193671577,0.7859014230515502
0.22,2,60709,3807,27275,0.940991381982764,0.6900004546281142,0.7961836065573771
0.22,3,58500,2257,29484,0.9628520170515331,0.6648936170212766,0.7866022145877734
0.23,1,62485,8478,25499,0.8805292899116441,0.7101859428987088,0.7862369217412093
0.23,2,60653,3729,27331,0.9420800844956665,0.6893639752682306,0.7961487470958087
0.23,3,58432,2219,29552,0.9634136287942491,0.6641207492271322,0.7862481918794362
0.24,1,62395,8263,25589,0.8830564125789012,0.709163029641753,0.7866138853519243
