threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,60260,13778,27724,0.8139063724033604,0.6848972540461902,0.7438496006715136
0.1,2,58195,5151,29789,0.9186846841158084,0.6614270776504819,0.769113857133417
0.1,3,56129,2374,31855,0.9594208843990907,0.6379455355519186,0.7663342139575527
0.11,1,60116,13057,27868,0.821559864977519,0.6832605928350609,0.7460550891366804
0.11,2,58071,4857,29913,0.9228165522501907,0.6600177304964538,0.7696008269720102
0.11,3,55942,2232,32042,0.9616323443462715,0.6358201491180214,0.7655003489374511
0.12,1,60042,12567,27942,0.8269222823616907,0.6824195308237861,0.7477536380788702
0.12,2,57986,4661,29998,0.9255989911727617,0.6590516457537734,0.7699079206803381
0.12,3,55848,2148,32136,0.9629629629629629,0.6347517730496454,0.7651459103986847
0.13,1,59916,11952,28068,0.8336951076974454,0.680987452264048,0.7496434201636514
0.13,2,57874,4417,30110,0.9290908799023936,0.6577786870340062,0.7702412244218932
0.13,3,55690,2017,32294,0.9650475678860451,0.6329559919985452,0.7644947182736065
0.14,1,59851,11541,28133,0.8383432317346481,0.6802486815784689,0.7510666599738982
0.14,2,57798,4250,30186,0.9315046415678184,0.6569148936170213,0.7704756318652022
0.14,3,55601,1937,32383,0.9663352914595572,0.6319444444444444,0.7641593710916563
0.15,1,59749,11043,28235,0.844007797491242,0.6790893798872523,0.7526200433314859
0.15,2,57672,4067,30312,0.9341259171674307,0.6554828150572831,0.7703826399417592
0.15,3,55492,1854,32492,0.9676699333868098,0.6307055828332424,0.7636688914883367
0.16,1,59689,10728,28295,0.8476504253234304,0.6784074377159484,0.7536442320439896
0.16,2,57599,3938,30385,0.9360059801420284,0.6546531187488634,0.7704469606276041
0.16,3,55411,1799,32573,0.9685544485229854,0.6297849609019822,0.7632684546193369
0.17,1,59607,10309,28377,0.8525516333886378,0.6774754500818331,0.7549968334388854
0.17,2,57487,3788,30497,0.9381803345573235,0.6533801600290962,0.7702986084591213
0.17,3,55305,1731,32679,0.9696507468966968,0.6285801963993454,0.7627223831195697
0.18,1,59560,10062,28424,0.8554767171296429,0.676941262047645,0.7558087890054948
0.18,2,57428,3692,30556,0.9395942408376964,0.6527095835606473,0.770307972958472
