threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,62689,13460,25295,0.8232412769701506,0.712504546281142,0.7638805115363759
0.1,2,61024,5808,26960,0.9130955231027053,0.6935806510274596,0.7883422902025631
0.1,3,59047,3133,28937,0.9496140238018655,0.671110656482997,0.7864334993740179
0.11,1,62536,12856,25448,0.8294779286926995,0.7107655937443171,0.7655469591616885
0.11,2,60879,5527,27105,0.9167695690148481,0.6919326241134752,0.7886391605673944
0.11,3,58852,3015,29132,0.9512664263662373,0.6688943444262593,0.7854735704132771
0.12,1,62445,12459,25539,0.8336670938801666,0.7097313147845062,0.7667231471931634
0.12,2,60798,5372,27186,0.9188151730391416,0.6910120021822149,0.788795619964451
0.12,3,58730,2930,29254,0.9524813493350632,0.6675077286779414,0.7849295661703776
0.13,1,62320,11952,25664,0.8390779836277467,0.7083106019276232,0.7681688196430333
0.13,2,60686,5178,27298,0.9213834568201141,0.6897390434624477,0.7889085330976028
0.13,3,58568,2825,29416,0.9539849820012053,0.665666484815421,0.7841635593163606
0.14,1,62266,11619,25718,0.842742099208229,0.7076968539734497,0.7693381685189876
0.14,2,60618,5029,27366,0.9233933005316313,0.6889661756683033,0.7891376089461111
0.14,3,58459,2766,29525,0.954822376480196,0.664427623204219,0.7835854405565348
0.15,1,62152,11197,25832,0.8473462487559476,0.7064011638479724,0.7704809307457247
0.15,2,60497,4834,27487,0.9260075614945432,0.6875909256228405,0.7891856635032449
0.15,3,58298,2668,29686,0.9562379030935275,0.6625977450445536,0.7827861698556563
0.16,1,62086,10929,25898,0.8503184277203314,0.7056510274595381,0.7712594488164523
0.16,2,60427,4722,27557,0.9275199926322737,0.686795326422986,0.7892093800813671
0.16,3,58210,2603,29774,0.957196652031638,0.6615975631933079,0.7824082474781079
0.17,1,62005,10582,25979,0.8542163197266728,0.7047304055282778,0.7723063317784655
0.17,2,60342,4550,27642,0.929883498736362,0.6858292416803055,0.7894241084277455
0.17,3,58078,2501,29906,0.9587150662770927,0.6600972904164394,0.781863586491926
0.18,1,61931,10351,26053,0.8567969895686339,0.703889343517003,0.7728526324984712
0.18,2,60273,4473,27711,0.9309146510981373,0.685045008183306,0.7892751915144373
0.18,3,57975,2458,30009,0.9593268578425694,0.6589266230223677,0.781244736115135
0.19,1,61858,10059,26126,0.8601304281324305,0.7030596472085834,0.7737037291824316
