threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,60046,11058,27938,0.8444813231323133,0.6824649936352064,0.754877803479835
0.1,2,57907,4035,30077,0.9348584159374899,0.6581537552282233,0.772474420714219
0.1,3,55520,2014,32464,0.96499461188167,0.6310238225131842,0.7630671119724021
0.11,1,59942,10643,28042,0.8492172557908905,0.6812829605382796,0.756036804167271
0.11,2,57773,3843,30211,0.9376298364061283,0.6566307510456446,0.7723663101604279
0.11,3,55370,1950,32614,0.9659804605722261,0.6293189670849245,0.7621263007212464
0.12,1,59873,10383,28111,0.8522119107264859,0.6804987270412802,0.7567366026289181
0.12,2,57700,3755,30284,0.9388983809291351,0.6558010547372249,0.7722214415246355
0.12,3,55263,1905,32721,0.9666771620486986,0.6281028368794326,0.761450066137566
0.13,1,59787,9999,28197,0.8567191127160175,0.6795212765957447,0.7579007415858529
0.13,2,57578,3618,30406,0.940878488790117,0.654414438988907,0.771926531706663
0.13,3,55139,1860,32845,0.9673678485587467,0.6266934897254046,0.7606271080057663
0.14,1,59721,9786,28263,0.8592084250507143,0.6787711402073104,0.7584052422043164
0.14,2,57503,3531,30481,0.9421470000327686,0.6535620112747772,0.7717591163483606
0.14,3,55064,1820,32920,0.968005062935096,0.6258410620112748,0.7601954883065964
0.15,1,59643,9484,28341,0.8628032461990249,0.6778846153846154,0.7592466472748566
0.15,2,57401,3408,30583,0.9439556644575638,0.6524027095835606,0.7715551134798008
0.15,3,54954,1775,33030,0.9687108886107635,0.6245908346972177,0.7594894722657951
0.16,1,59590,9289,28394,0.8651403185295954,0.6772822331332969,0.7597712653716937
0.16,2,57349,3331,30635,0.9451054713249836,0.6518116930350973,0.7715250497766776
0.16,3,54884,1743,33100,0.9692196302117364,0.6237952354973632,0.759057056517139
0.17,1,59525,9053,28459,0.8679897343171279,0.6765434624477178,0.7604016300251658
0.17,2,57258,3242,30726,0.9464132231404959,0.6507774140752864,0.7712346111365534
0.17,3,54779,1694,33205,0.9700033644396437,0.6226018366975814,0.7584125379870826
0.18,1,59489,8888,28495,0.8700147710487445,0.6761342971449354,0.7609186433957317
0.18,2,57209,3187,30775,0.9472316047420359,0.6502204946353882,0.7711147054859144
0.18,3,54708,1667,33276,0.970430155210643,0.6217948717948718,0.757943737487791
0.19,1,59412,8706,28572,0.8721923720602484,0.6752591380250955,0.7611946035284622
0.19,2,57138,3116,30846,0.948285590998108,0.6494135297326786,0.7708954519084175
0.19,3,54601,1626,33383,0.9710815088836324,0.6205787415893799,0.7572376587084204
0.2,1,59367,8473,28617,0.8751031839622642,0.6747476813966176,0.7619750487729747
0.2,2,57069,3033,30915,0.9495357891584306,0.6486292962356792,0.770754831651878
0.2,3,54502,1571,33482,0.9719829507962834,0.6194535370067284,0.7566727059427866
0.21,1,59340,8323,28644,0.8769933346141909,0.6744408074195308,0.76249461923455
