threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,61745,10123,26239,0.8591445427728613,0.7017753227859611,0.7725270875559892
0.1,2,59744,4921,28240,0.9239001005180546,0.6790325513729769,0.7827630708357082
0.1,3,57459,3104,30525,0.9487475851592556,0.6530619203491544,0.7736137384127584
0.11,1,61591,9618,26393,0.8649328034377677,0.7000250045462811,0.7737903048500877
0.11,2,59571,4717,28413,0.9266270532603286,0.6770662847790507,0.7824288116002941
0.11,3,57222,2989,30762,0.9503579080234509,0.6503682487725041,0.7722527750598873
0.12,1,61493,9352,26491,0.8679935069517962,0.6989111656664848,0.7743296249425482
0.12,2,59455,4592,28529,0.9283026527393945,0.6757478632478633,0.7821431155488026
0.12,3,57067,2931,30917,0.9511483716123871,0.648606564829969,0.7712694787203849
0.13,1,61354,8972,26630,0.8724227170605466,0.6973313329696308,0.7751121217863685
0.13,2,59286,4436,28698,0.9303851103229653,0.6738270594653574,0.7815907083437701
0.13,3,56884,2819,31100,0.9527829422307087,0.6465266412074923,0.7703318504675428
0.14,1,61265,8746,26719,0.875076773649855,0.6963197854155301,0.7755308712301022
0.14,2,59190,4339,28794,0.9317004832438729,0.6727359519912711,0.781319094731145
0.14,3,56755,2759,31229,0.9536411600631785,0.6450604655391889,0.7695697568780594
0.15,1,61152,8448,26832,0.8786206896551724,0.6950354609929078,0.7761194029850746
0.15,2,59053,4209,28931,0.9334671682842781,0.6711788507001273,0.7808867672533488
0.15,3,56577,2669,31407,0.9549505451844851,0.6430373704309874,0.7685526047680499
0.16,1,61088,8246,26896,0.8810684512648916,0.6943080560101836,0.7766180602346839
0.16,2,58960,4118,29024,0.934715748755509,0.6701218403346063,0.7806066383339291
0.16,3,56449,2624,31535,0.9555803835931813,0.6415825604655392,0.7677159196774039
0.17,1,60978,8007,27006,0.8839312894107415,0.6930578286961265,0.7769432180876479
0.17,2,58813,4015,29171,0.9360953714904183,0.6684510820149118,0.7799511975174389
0.17,3,56292,2545,31692,0.9567449054166596,0.639798145117294,0.766811287213682
0.18,1,60896,7855,27088,0.8857471164055796,0.6921258410620112,0.7770568156442403
0.18,2,58710,3953,29274,0.9369165217113767,0.6672804146208402,0.7794380239898571
0.18,3,56172,2501,31812,0.9573739198609241,0.6384342607746863,0.7660323066747583
0.19,1,60787,7646,27197,0.8882702789589818,0.6908869794508092,0.777242882806856
0.19,2,58580,3853,29404,0.9382858424230776,0.6658028732496818,0.7789013209943025
0.19,3,56034,2437,31950,0.9583212190658618,0.6368657937806874,0.7652043289747704
0.2,1,60678,7456,27306,0.8905685854345848,0.6896481178396072,0.7773350926863015
0.2,2,58446,3757,29538,0.9396009838753758,0.6642798690671031,0.7783097072316512
0.2,3,55890,2385,32094,0.9590733590733591,0.6352291325695582,0.7642606608824072
0.21,1,60632,7313,27352,0.8923688277283096,0.6891252955082743,0.7776872807495719
0.21,2,58372,3695,29612,0.9404675592504874,0.6634388070558284,0.7780288035401297
0.21,3,55788,2358,32196,0.9594469095036632,0.6340698308783416,0.7635393143091768
0.22,1,60524,7153,27460,0.8943067807379169,0.6878977995999273,0.7776385864153512
0.22,2,58261,3601,29723,0.9417897901781385,0.6621772140389162,0.7776116813261615
0.22,3,55636,2304,32348,0.9602347255781843,0.6323422440443717,0.7625339217674953
0.23,1,60459,7059,27525,0.8954501021949702,0.6871590289143481,0.7775977157850061
0.23,2,58203,3533,29781,0.9427724504341065,0.6615180032733224,0.7774913171253006
0.23,3,55539,2261,32445,0.9608823529411765,0.6312397708674304,0.7619354661691269
