threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,59995,12876,27989,0.8233041950844643,0.6818853427895981,0.7459513226197507
0.1,2,58120,5323,29864,0.9160979146635563,0.6605746499363521,0.7676306074874362
0.1,3,56035,2966,31949,0.9497296655988882,0.6368771594835425,0.7624587542946559
0.11,1,59871,12285,28113,0.8297438882421421,0.6804759956355702,0.7477332334207569
0.11,2,57997,5092,29987,0.9192886240073547,0.6591766684851791,0.7678009968690632
0.11,3,55883,2843,32101,0.951588734121173,0.6351495726495726,0.7618158271419807
0.12,1,59803,11935,28181,0.8336307117566701,0.6797031278414257,0.7488386070798012
0.12,2,57921,4964,30063,0.9210622564999602,0.6583128750681942,0.7678316950466961
0.12,3,55783,2781,32201,0.9525134895157434,0.6340130023640662,0.7612932281573273
0.13,1,59697,11526,28287,0.8381702539909861,0.6784983633387889,0.7499293372778835
0.13,2,57816,4781,30168,0.9236225378213013,0.6571194762684124,0.7679056454665596
0.13,3,55647,2698,32337,0.9537578198645985,0.6324672667757774,0.7605737755332161
0.14,1,59658,11250,28326,0.8413437129801997,0.6780551009274414,0.7509251567102183
0.14,2,57736,4660,30248,0.9253157253670107,0.6562102200400073,0.7678680675621757
0.14,3,55538,2637,32446,0.9546712505371723,0.6312284051645753,0.7599668853782525
0.15,1,59566,10857,28418,0.8458316175113244,0.6770094562647754,0.7520627245008112
0.15,2,57638,4503,30346,0.9275357654366683,0.655096381160211,0.7678667776852623
0.15,3,55401,2563,32583,0.9557828997308674,0.6296713038734315,0.7591882040178694
0.16,1,59508,10652,28476,0.848175598631699,0.6763502454991817,0.7525799271549979
0.16,2,57577,4418,30407,0.9287361884022906,0.654403073286052,0.767800825448896
0.16,3,55314,2515,32670,0.9565097096612426,0.6286824877250409,0.7586977841481898
0.17,1,59434,10332,28550,0.851904939368747,0.6755091834879069,0.7535213946117274
0.17,2,57478,4284,30506,0.9306369612383019,0.6532778687034007,0.767673260053691
0.17,3,55183,2446,32801,0.9575560915511288,0.6271935806510275,0.7579405684931978
0.18,1,59375,10150,28609,0.8540093491549802,0.6748386070194581,0.7539251725298238
0.18,2,57416,4218,30568,0.9315637472823441,0.6525731951263866,0.7675012364822414
0.18,3,55110,2419,32874,0.9579516417806672,0.6263638843426077,0.7574580965274581
0.19,1,59310,9862,28674,0.8574278609842133,0.6740998363338789,0.7547914174450865
0.19,2,57325,4118,30659,0.9329785329492375,0.6515389161665758,0.7672642828939884
0.19,3,54998,2360,32986,0.9588549112591095,0.6250909256228405,0.7568080802520951
0.2,1,59244,9604,28740,0.8605042993260515,0.6733496999454446,0.7555090797796368
0.2,2,57249,4005,30735,0.9346165148398472,0.6506751227495908,0.7672174647207816
0.2,3,54914,2300,33070,0.9598000489390709,0.624136206583015,0.7564016033278695
0.21,1,59206,9458,28778,0.862256786671327,0.6729178032369522,0.7559113426280578
0.21,2,57193,3946,30791,0.9354585452820622,0.6500386433897072,0.7670580661601496
0.21,3,54854,2279,33130,0.9601106190817916,0.6234542644117113,0.7559968852718841
0.22,1,59149,9247,28835,0.8648020352067373,0.6722699581742135,0.7564778104616958
0.22,2,57114,3866,30870,0.9366021646441456,0.6491407528641571,0.7668161434977577
0.22,3,54760,2232,33224,0.9608366086468276,0.6223858883433352,0.7554353824081226
0.23,1,59110,9108,28874,0.8664868509777478,0.671826695762866,0.7568405014020309
0.23,2,57072,3805,30912,0.9374969200190548,0.6486633933442444,0.7667824346202161
0.23,3,54698,2207,33286,0.9612160618574818,0.6216812147663211,0.7550331633181262
0.24,1,59059,8930,28925,0.8686552236391181,0.6712470449172577,0.7572977374289139
0.24,2,57003,3714,30981,0.9388309699095805,0.647879159847245,0.7666794439849094
0.24,3,54594,2171,33390,0.9617546023077601,0.6204991816693944,0.7543264547596185
0.25,1,59028,8797,28956,0.8702985624769628,0.6708947081287506,0.7576969237977268
0.25,2,56965,3667,31019,0.9395203852751023,0.6474472631387524,0.7666065564945901
0.25,3,54546,2144,33438,0.962180278708767,0.6199536279323513,0.7540539419660753
0.26,1,58994,8620,28990,0.8725116100215932,0.6705082742316785,0.7582873815858816
0.26,2,56905,3599,31079,0.9405163294988761,0.6467653209674487,0.7664592424977102
0.26,3,54471,2110,33513,0.9627083296512964,0.6191012002182215,0.753584892608861
0.27,1,58963,8510,29021,0.8738754761163725,0.6701559374431715,0.7585763265726214
0.27,2,56876,3552,31108,0.9412193023101874,0.6464357155846517,0.7664609330781876
0.27,3,54417,2085,33567,0.9630986513751726,0.618487452264048,0.7532494497736806
0.28,1,58903,8336,29081,0.8760243311173574,0.6694739952718676,0.7589468055636085
0.28,2,56813,3490,31171,0.94212559905809,0.6457196763047827,0.766257325321842
0.28,3,54341,2054,33643,0.9635783314123593,0.617623658847063,0.7527549020286883
0.29,1,58869,8249,29115,0.8770970529515182,0.6690875613747954,0.7591004629211744
0.29,2,56784,3451,31200,0.9427077280650784,0.6453900709219859,0.7662175564536261
0.29,3,54293,2036,33691,0.9638552077970495,0.61707810511002,0.7524339456597812
0.3,1,58829,8109,29155,0.8788580477456751,0.6686329332605928,0.7594660538851808
0.3,2,56725,3394,31259,0.9435453018180608,0.644719494453537,0.7660209448829531
0.3,3,54214,2007,33770,0.96430159548923,0.6161802145844699,0.7519018064560868
0.31,1,58778,7981,29206,0.880450575952306,0.6680532824149845,0.7596854138797878
0.31,2,56667,3337,31317,0.9443870408639424,0.6440602836879432,0.7658323647863339
0.31,3,54137,1979,33847,0.9647337657709031,0.6153050554646299,0.7513809854267869
0.32,1,58749,7896,29235,0.8815214944857078,0.6677236770321877,0.7598703994722854
0.32,2,56643,3295,31341,0.9450265274116587,0.6437875068194218,0.7658495693676397
0.32,3,54096,1957,33888,0.9650866144541773,0.6148390616475723,0.7511403319980283
