threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,62803,12086,25181,0.8386144827678297,0.7138002364066194,0.7711898227453292
0.1,2,60758,5545,27226,0.9163687917590456,0.6905573740680123,0.7875971403942004
0.1,3,58506,3317,29478,0.9463468288501043,0.664961811238407,0.7810849960282231
0.11,1,62628,11436,25356,0.8455930006480882,0.7118112384069831,0.7729561611374408
0.11,2,60581,5309,27403,0.9194263165882531,0.688545644662666,0.7874104787033547
0.11,3,58298,3176,29686,0.9483358818362234,0.6625977450445536,0.7801255202130364
0.12,1,62529,11078,25455,0.8494980097001644,0.7106860338243317,0.7739168641817924
0.12,2,60465,5175,27519,0.9211608775137111,0.6872272231314784,0.787181690360881
0.12,3,58174,3104,29810,0.9493456052743235,0.6611883978905255,0.7794884163417346
0.13,1,62370,10633,25614,0.8543484514335027,0.7088788870703764,0.7748451738339119
0.13,2,60293,4988,27691,0.9235918567423906,0.6852723222404073,0.7867810654748312
0.13,3,57955,3022,30029,0.9504403299604769,0.6586993089652664,0.7781231329005579
0.14,1,62288,10334,25696,0.8577015229544767,0.7079468994362611,0.775662179495162
0.14,2,60199,4869,27785,0.9251705907665827,0.6842039461720313,0.7866476752998981
0.14,3,57822,2958,30162,0.9513326752221125,0.6571876704855428,0.7773654916512059
0.15,1,62173,9924,25811,0.8623521089643119,0.7066398436079288,0.7767692605618405
0.15,2,60053,4727,27931,0.927029947514665,0.6825445535551918,0.7862192663192898
0.15,3,57664,2885,30320,0.95235264001057,0.6553918894344426,0.7764469848451185
0.16,1,62084,9711,25900,0.8647398843930636,0.7056282960538279,0.7771234016985962
0.16,2,59961,4631,28023,0.9283038147138964,0.681498908892526,0.7859820679530201
0.16,3,57535,2840,30449,0.95296066252588,0.6539257137661393,0.7756186008263739
0.17,1,61952,9406,26032,0.8681857675383279,0.7041280232769594,0.7775978712454971
0.17,2,59825,4509,28159,0.9299126433922964,0.6799531733042371,0.7855276461087985
0.17,3,57384,2796,30600,0.9535393818544367,0.6522094926350246,0.7746011176804083
0.18,1,61876,9200,26108,0.8705610895379594,0.7032642298599745,0.7780208726266817
0.18,2,59754,4450,28230,0.93068967665566,0.6791462084015275,0.7852655925565748
0.18,3,57283,2746,30701,0.9542554432024521,0.651061556646663,0.7740266057711146
0.19,1,61778,8935,26206,0.8736441672676877,0.7021503909801782,0.7785654423209007
0.19,2,59649,4360,28335,0.931884578731116,0.6779528096017458,0.7848914094728047
0.19,3,57126,2687,30858,0.9550766555765469,0.6492771412984178,0.7730332821369851
0.2,1,61685,8727,26299,0.8760580582855195,0.7010933806146572,0.7788706785524887
0.2,2,59527,4256,28457,0.9332737563300566,0.6765661938534279,0.7844524830826202
0.2,3,56979,2634,31005,0.9558150067938201,0.6476063829787234,0.7720888635947885
0.21,1,61623,8561,26361,0.8780206314829591,0.7003887070376432,0.7792094481816801
0.21,2,59470,4198,28514,0.9340642080794119,0.6759183487906892,0.7842956241922295
0.21,3,56894,2588,31090,0.9564910393060085,0.646640298236043,0.7716219331913798
0.22,1,61523,8345,26461,0.8805604854869182,0.6992521367521367,0.7795023186275751
0.22,2,59341,4120,28643,0.9350782370274657,0.6744521731223859,0.7836640364488758
0.22,3,56770,2564,31214,0.9567870023932316,0.6452309510820149,0.7707136941853677
0.23,1,61466,8232,26518,0.8818904416195587,0.6986042916893981,0.7796197409977043
