threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.1,1,60511,13889,27473,0.8133198924731183,0.6877500454628114,0.7452827864814268
0.1,2,58535,4927,29449,0.9223629888752324,0.6652914166212038,0.7730148039565258
0.1,3,56294,2305,31690,0.9606648577620779,0.6398208765230042,0.7680836113328285
0.11,1,60395,13169,27589,0.820985808275787,0.6864316239316239,0.7477034689380246
0.11,2,58417,4657,29567,0.9261660906237118,0.6639502636843062,0.7734380171854519
0.11,3,56135,2178,31849,0.9626498379435118,0.6380137297690489,0.7674114985269691
0.12,1,60331,12678,27653,0.8263501760056979,0.6857042189488998,0.7494860024970029
0.12,2,58337,4506,29647,0.9282975033018793,0.6630410074559011,0.7735617628143502
0.12,3,56030,2098,31954,0.9639072391962565,0.6368203309692672,0.7669459045116076
0.13,1,60216,12071,27768,0.8330128515500712,0.6843971631205674,0.7514272700613337
0.13,2,58241,4264,29743,0.9317814574834014,0.6619498999818149,0.7740233505438936
0.13,3,55900,2005,32084,0.9653743200069078,0.6353427895981087,0.7663360500106244
0.14,1,60146,11735,27838,0.8367440631042974,0.6836015639207128,0.7524598880305258
0.14,2,58158,4109,29826,0.9340099892398863,0.6610065466448445,0.7741445980392808
0.14,3,55813,1932,32171,0.9665425577972119,0.6343539734497181,0.7659834350060728
0.15,1,60074,11259,27910,0.8421628138449245,0.6827832333151482,0.754144253281194
0.15,2,58067,3931,29917,0.9365947288622214,0.6599722676850337,0.7743195850168688
0.15,3,55703,1832,32281,0.9681585122099592,0.633103746135661,0.7655770036902397
0.16,1,60023,10945,27961,0.8457755608161425,0.6822035824695399,0.7552342845638934
0.16,2,58009,3835,29975,0.9379891339499385,0.6593130569194399,0.7743412446271724
0.16,3,55639,1777,32345,0.9690504389020482,0.632376341152937,0.7653232462173316
0.17,1,59948,10559,28036,0.8502418199611386,0.6813511547554101,0.7564845953397985
0.17,2,57909,3689,30075,0.9401116919380499,0.6581764866339335,0.7742776537283897
0.17,3,55513,1701,32471,0.9702695144545042,0.6309442625931988,0.7646524056805191
0.18,1,59901,10299,28083,0.8532905982905983,0.680816966721222,0.7573585191928387
0.18,2,57843,3615,30141,0.9411793419896515,0.6574263502454992,0.7741197253784078
0.18,3,55438,1655,32546,0.9710122081516123,0.630091834879069,0.7642562225576763
0.19,1,59837,9951,28147,0.8574110162205537,0.6800895617384979,0.7585249600689603
0.19,2,57760,3478,30224,0.9432051993860021,0.6564829969085288,0.7741485839889561
0.19,3,55339,1588,32645,0.9721046252217752,0.6289666302964175,0.7637653456259359
0.2,1,59761,9651,28223,0.8609606408113871,0.679225768321513,0.7593712673765535
0.2,2,57697,3361,30287,0.9449539781846769,0.6557669576286598,0.7742381342172006
0.2,3,55242,1526,32742,0.9731186583990981,0.6278641571194763,0.7632640654360562
0.21,1,59712,9483,28272,0.8629525254714936,0.6786688488816148,0.7597961559750348
0.21,2,57652,3279,30332,0.9461850289671924,0.6552555010001818,0.7742940603700098
0.21,3,55174,1487,32810,0.9737561991493267,0.6270912893253319,0.7628884510352932
0.22,1,59642,9194,28342,0.8664361671218549,0.6778732496817603,0.76064277515623
0.22,2,57587,3153,30397,0.9480902206124465,0.6545167303146027,0.7744143514160459
0.22,3,55081,1434,32903,0.9746262054321861,0.6260342789598109,0.7623720579381172
0.23,1,59588,9035,28396,0.8683386036751527,0.6772595017275869,0.7609876953137472
0.23,2,57543,3096,30441,0.9489437490723792,0.6540166393889798,0.774348519408167
0.23,3,55031,1411,32953,0.9750008858651359,0.6254659938170577,0.7620650021464279
0.24,1,59527,8755,28457,0.8717817287132773,0.6765661938534279,0.7618675847593207
0.24,2,57467,3011,30517,0.9502133007043884,0.6531528459719949,0.7741644326494321
0.24,3,54961,1376,33023,0.9755755542538651,0.6246703946172031,0.7616493788152798
0.25,1,59491,8599,28493,0.8737112645028638,0.6761570285506455,0.7623435037225931
0.25,2,57443,2957,30541,0.9510430463576159,0.6528800691034734,0.7742478973474229
0.25,3,54911,1346,33073,0.9760740885578684,0.6241021094744499,0.7613785262165403
0.26,1,59414,8365,28570,0.8765841927440653,0.6752818694308056,0.7628769348304796
0.26,2,57375,2874,30609,0.9522979634516755,0.652107201309329,0.7741191232721458
0.26,3,54838,1323,33146,0.9764427271594167,0.6232724131660302,0.7608727323181518
0.27,1,59378,8206,28606,0.8785807291666666,0.6748727041280232,0.7633703589427131
0.27,2,57341,2822,30643,0.9530940943769426,0.6517207674122568,0.77410949934862
0.27,3,54788,1299,33196,0.976839552837556,0.622704128023277,0.7605694414559488
0.28,1,59322,8008,28662,0.8810634189811377,0.6742362247681397,0.7638976524975212
0.28,2,57283,2726,30701,0.9545734806445699,0.651061556646663,0.7741312089085295
0.28,3,54701,1249,33283,0.9776764968722074,0.6217153118748864,0.7600844831658955
0.29,1,59286,7875,28698,0.8827444499039622,0.6738270594653574,0.7642656869380258
0.29,2,57249,2687,30735,0.9551688467698879,0.6506751227495908,0.7740535424553813
0.29,3,54640,1230,33344,0.97798460712368,0.6210220040007274,0.7596590988085142
0.3,1,59224,7673,28760,0.8853012840635603,0.6731223858883434,0.7647677894641693
0.3,2,57193,2632,30791,0.9560050146259925,0.6500386433897072,0.7738770981469328
0.3,3,54579,1210,33405,0.97831113660399,0.6203286961265685,0.7592385218365061
0.31,1,59172,7493,28812,0.8876021900547514,0.67253136933988,0.7652425815879831
0.31,2,57146,2569,30838,0.956978983504982,0.6495044553555192,0.7738170197496259
